total_people,tap_closure_days_per_week,avg_daily_usage,hourly_usage,weekly_usage,monthly_usage,remaining_units,usage_per_person,usage_spike,consumption_risk,leak_detected
1,3,80.18,3.12,731.08,2309.71,68.13,80.18,0.982,Medium,0
3,3,215.9,19.53,1599.87,6136.79,71.71,71.97,2.1194,Medium,0
7,1,244.8,18.02,1865.34,7636.22,4.63,34.97,1.7446,Low,0
3,2,258.5,24.68,2095.65,8497.18,415.05,86.17,2.3946,Medium,1
4,2,277.99,7.66,2187.19,8276.17,92.46,69.5,0.5157,Medium,0
5,2,328.25,8.37,2539.19,10020.82,61.89,65.65,0.4687,Medium,0
3,3,173.84,0.5,1088.79,5185.8,80.5,57.95,0.1282,Low,0
8,4,245.43,5.34,1763.43,7990.47,250.22,30.68,0.5276,Low,1
8,4,395.11,12.43,2314.59,11044.92,149.84,49.39,0.7761,Low,0
2,3,171.42,5.48,1526.2,5178.25,105.3,85.71,0.7907,Medium,0
3,3,141.56,0.14,852.07,4525.81,68.88,47.19,0.01,Low,0
3,3,134.28,4.7,852.38,4214.2,138.07,44.76,0.8451,Low,0
2,3,86.62,0.39,722.54,2865.54,49.85,43.31,0.1808,Low,0
1,3,59.68,1.41,465.56,1791.78,34.4,59.68,0.7006,Low,1
4,2,134.08,4.01,957.9,3547.37,11.76,33.52,0.829,Low,0
4,3,181.91,4.39,1444.27,4938.66,287.33,45.48,0.6224,Low,0
1,3,62.17,0.12,426.66,1838.3,3.54,62.17,0.1248,Low,0
2,0,120.77,0.18,1156.48,3828.72,92.15,60.38,0.087,Medium,1
6,0,456.88,0.88,3568.14,14690.3,543.46,76.15,0.01,Medium,0
2,2,121.9,3.42,961.02,3748.07,289.94,60.95,0.672,Medium,0
2,3,134.26,2.84,863.6,3639.54,1893.21,67.13,0.4567,Low,0
3,3,141.05,5.82,1004.04,4092.24,126.5,47.02,0.9899,Low,0
9,0,412.31,30.1,2370.68,10983.09,15.16,45.81,1.8516,Low,0
2,2,191.63,4.93,1345.01,5847.9,8.48,95.82,0.555,High,0
4,1,177.82,10.1,1328.94,4731.0,78.4,44.46,1.3211,Low,0
5,5,197.09,21.85,1353.27,6229.92,4.49,39.42,2.6486,Low,1
2,2,153.07,5.2,1058.85,5081.0,246.28,76.54,0.8163,Medium,1
5,0,197.27,7.81,1793.49,5849.33,54.03,39.45,0.92,Low,0
3,3,134.33,0.26,814.0,3732.63,1.0,44.78,0.1908,Low,0
4,2,414.67,44.4,2729.23,13813.59,13.46,103.67,2.5628,Medium,1
4,3,748.73,1.69,4569.02,21784.41,93.94,187.18,0.0534,High,1
4,2,252.69,0.4,2157.37,8403.24,455.19,63.17,0.0913,Medium,1
1,5,75.42,0.13,565.84,2373.81,25.67,75.42,0.1153,Medium,0
6,5,327.09,10.32,2669.63,10972.63,13.5,54.51,0.9138,Low,1
3,3,530.44,61.81,4185.45,16567.62,174.79,176.81,2.8107,High,1
2,3,143.55,3.75,872.08,3806.46,73.41,71.78,0.5734,Medium,0
1,3,118.41,0.36,765.92,3688.74,13.24,118.41,0.0237,Medium,0
4,5,132.38,10.39,942.32,4422.42,573.56,33.1,1.9664,Low,0
4,3,344.49,38.41,2131.06,11122.16,72.75,86.12,2.808,Medium,1
1,2,35.31,0.18,286.78,1184.66,142.2,35.31,0.1967,Low,1
4,1,195.91,0.54,1646.17,6389.95,1.3,48.98,0.01,Low,1
2,2,133.49,3.7,730.76,3803.38,52.09,66.74,0.7136,Medium,0
4,3,220.17,10.62,1826.06,6096.99,55.87,55.04,1.2585,Low,0
2,2,86.78,9.69,646.09,2573.68,2457.04,43.39,2.3939,Low,0
5,3,383.18,29.59,2715.35,10739.64,71.35,76.64,1.9202,Medium,0
3,3,205.79,4.76,1776.75,6481.43,750.06,68.6,0.5752,Medium,0
7,4,564.21,11.64,3285.12,17316.45,48.17,80.6,0.4948,Medium,0
2,3,102.38,1.9,688.69,3321.58,578.47,51.19,0.5611,Low,1
3,3,293.71,8.15,2250.07,8798.57,45.1,97.9,0.562,Medium,0
1,3,115.09,0.13,786.39,3055.28,98.7,115.09,0.01,Medium,0
7,4,237.17,19.04,1674.19,6609.9,28.99,33.88,1.8553,Low,0
6,1,439.94,15.25,3682.76,12634.94,13.22,73.32,0.8719,Medium,0
2,1,117.27,5.25,1215.79,3764.73,3.01,58.64,1.0984,Medium,0
4,3,195.98,4.21,1517.47,5217.96,1183.11,49.0,0.5592,Low,0
5,4,267.4,0.27,1839.98,7288.47,552.08,53.48,0.01,Low,0
4,3,151.13,15.09,1487.16,4964.65,435.42,37.78,2.4322,Low,1
4,3,188.43,0.42,1540.02,5360.57,102.5,47.11,0.075,Low,0
2,2,117.63,3.1,679.12,3172.82,214.67,58.82,0.7037,Low,0
1,2,30.78,2.48,169.62,873.85,174.47,30.78,1.8379,Low,0
6,4,279.2,8.47,2527.26,9018.5,11.44,46.53,0.7356,Low,0
6,2,437.02,13.16,3134.98,12820.31,113.72,72.84,0.5725,Medium,0
4,3,138.82,19.56,1341.91,3999.29,29.93,34.7,3.3018,Low,1
3,4,131.68,4.22,1293.69,3703.54,1048.1,43.89,0.9577,Low,0
3,0,161.83,19.56,1227.55,4853.05,138.6,53.94,2.9296,Low,1
5,0,298.38,29.77,2380.63,8752.86,6.58,59.68,2.2965,Medium,1
6,2,386.88,0.76,2943.49,12238.4,338.89,64.48,0.0893,Medium,0
6,3,335.83,40.0,1981.59,9428.35,42.02,55.97,2.849,Low,1
5,2,298.86,11.83,3056.87,8717.31,542.22,59.77,1.0392,Medium,0
4,0,278.58,28.07,2473.14,8849.73,113.5,69.64,2.3818,Medium,0
1,2,64.55,6.07,538.4,2094.29,44.4,64.55,2.2161,Medium,1
2,1,73.76,0.14,508.77,2395.04,37.4,36.88,0.0643,Low,1
6,2,259.3,36.69,2565.93,7787.5,292.13,43.22,3.3026,Low,1
4,2,188.57,0.65,1459.28,6035.15,125.02,47.14,0.0719,Low,0
1,2,47.1,0.91,340.9,1540.9,211.52,47.1,0.4414,Low,1
1,3,159.95,4.76,1334.47,5346.15,47.25,159.95,0.827,High,1
4,2,255.54,1.98,2386.17,7003.16,1606.54,63.88,0.1215,Medium,0
1,3,42.4,0.18,297.01,1406.9,130.62,42.4,0.1092,Low,1
2,3,108.07,2.83,1015.37,3442.87,177.31,54.04,0.5295,Low,0
4,4,266.86,7.78,1545.14,7745.14,444.68,66.72,0.7733,Low,0
5,1,253.95,6.43,1703.8,7788.58,334.02,50.79,0.6513,Low,0
4,2,399.61,9.77,2505.91,10908.74,43.33,99.9,0.5223,High,0
2,4,148.72,3.32,1276.87,4794.81,63.34,74.36,0.4921,Medium,0
5,4,502.25,2.43,2982.32,16172.14,97.86,100.45,0.1609,Medium,0
2,2,78.91,10.78,698.93,2326.01,63.04,39.46,3.1033,Low,1
3,1,180.39,3.51,1267.98,4785.01,129.57,60.13,0.4623,Medium,0
5,4,122.97,10.12,683.35,3362.01,2442.05,24.59,2.0119,Low,0
4,2,181.1,5.62,1705.1,5007.01,416.51,45.28,0.8077,Low,0
6,4,1021.04,120.14,6491.85,32712.1,1736.28,170.17,2.9166,High,1
4,5,200.94,6.58,1313.32,6586.86,599.31,50.24,0.728,Low,1
4,2,462.66,10.64,3138.47,12267.46,10.25,115.66,0.5314,High,0
1,4,57.27,1.47,335.53,1825.33,95.97,57.27,0.5804,Low,0
3,3,140.19,3.9,1381.31,4381.15,199.51,46.73,0.8089,Low,0
2,4,136.16,12.05,977.21,4092.56,90.47,68.08,2.2863,Medium,0
2,3,160.91,15.02,1519.77,5168.74,121.08,80.46,2.2497,Low,0
8,1,952.85,17.65,7159.25,26660.07,13.1,119.11,0.3996,High,0
3,3,147.33,4.21,1137.07,4567.51,123.27,49.11,0.7523,Low,0
6,2,475.61,1.75,3672.08,13729.64,231.51,79.27,0.01,Medium,0
4,4,561.25,20.17,4025.35,15402.41,137.43,140.31,0.9373,High,0
5,3,305.35,33.59,2256.87,9543.34,49.67,61.07,2.5934,Low,0
4,1,239.72,14.58,1566.48,6882.16,248.59,59.93,1.5039,Medium,0
4,2,972.73,23.84,7078.53,28064.26,26.55,243.18,0.5682,High,1
3,4,175.81,5.28,1256.83,5435.46,3.46,58.6,0.719,Low,0
2,2,141.59,0.32,884.67,4540.32,12.88,70.8,0.0221,Medium,0
5,4,396.45,2.11,3374.28,11126.07,288.86,79.29,0.1715,Medium,0
2,2,104.06,2.63,643.06,2842.52,130.11,52.03,0.5606,Low,0
1,3,73.02,1.63,534.23,2360.25,47.84,73.02,0.498,Medium,0
4,4,165.43,4.46,1086.87,5423.95,371.6,41.36,0.712,Low,1
2,1,97.37,0.33,638.21,2925.93,524.49,48.68,0.0761,Low,1
7,2,282.37,0.5,1832.72,7791.5,516.95,40.34,0.01,Low,0
7,4,259.29,27.72,1938.86,7426.81,357.26,37.04,2.5832,Low,0
7,3,137.86,0.81,967.42,4026.91,135.5,19.69,0.0891,Low,0
3,3,142.46,10.46,1236.52,3855.18,129.07,47.49,1.9753,Low,0
1,4,41.43,1.23,235.13,1344.25,144.21,41.43,0.7994,Low,1
7,3,479.26,3.16,4695.22,14605.4,1176.91,68.47,0.0788,Medium,0
3,4,107.54,1.82,655.45,3497.13,42.69,35.85,0.3098,Low,1
8,3,184.29,18.19,1617.89,5239.93,256.87,23.04,2.2335,Low,0
8,3,274.09,0.73,1685.08,8982.22,438.64,34.26,0.1523,Low,1
6,2,235.55,7.15,1666.97,6371.58,6.63,39.26,0.7825,Low,1
2,4,82.04,2.17,756.15,2438.9,488.72,41.02,0.6444,Low,0
3,4,167.82,3.07,960.69,5215.09,2685.51,55.94,0.4749,Low,0
6,2,561.28,11.15,4502.85,14892.43,7.12,93.55,0.3098,Medium,1
3,3,486.25,18.08,3919.03,12839.94,89.43,162.08,0.8258,High,1
2,3,106.6,12.86,721.18,3111.42,311.38,53.3,2.8496,Low,1
4,3,331.88,1.31,2030.29,10129.16,61.19,82.97,0.0925,Medium,0
7,5,476.4,43.48,3344.06,13541.75,2162.84,68.06,2.1318,Medium,0
5,1,279.66,9.13,2490.58,8231.67,407.68,55.93,0.805,Low,0
4,5,89.25,2.32,731.66,2511.64,245.51,22.31,0.6729,Low,0
1,1,61.79,2.12,500.19,1770.33,410.56,61.79,0.6745,Medium,0
4,3,200.82,28.93,1624.74,5885.89,225.76,50.2,3.5506,Low,1
10,3,446.44,2.38,2917.42,14713.41,147.86,44.64,0.0636,Low,1
2,2,106.75,0.52,719.91,3373.0,113.35,53.38,0.13,Low,0
4,3,269.84,10.01,2016.95,8774.24,14.14,67.46,0.9129,Low,1
6,4,414.58,11.33,3059.3,12583.02,195.45,69.1,0.6002,Medium,0
5,2,291.96,38.82,1759.57,8374.35,2665.0,58.39,3.3468,Medium,0
5,1,303.16,1.06,2302.07,8929.18,503.57,60.63,0.1316,Medium,0
5,3,283.99,12.15,2552.46,8395.42,210.67,56.8,0.9109,Low,0
3,4,62.12,4.23,396.34,1838.73,121.46,20.71,1.5853,Low,0
2,5,61.82,5.53,392.43,1908.07,6.79,30.91,2.2423,Low,0
5,2,246.53,1.34,2131.93,6917.14,27.28,49.31,0.1532,Low,0
5,4,379.19,9.88,2651.48,12606.05,550.23,75.84,0.7086,Medium,1
6,3,376.97,0.77,2384.83,12355.7,129.83,62.83,0.013,Low,1
7,2,545.49,15.2,3894.15,17514.03,479.6,77.93,0.5956,Medium,0
4,5,150.2,0.44,1244.54,4132.51,114.83,37.55,0.1888,Low,0
4,2,189.33,15.33,1259.47,5211.56,1650.06,47.33,1.9136,Low,0
5,4,214.5,0.19,1437.7,6757.22,31.81,42.9,0.0947,Low,0
4,4,114.89,4.15,800.57,3538.63,529.65,28.72,0.8997,Low,0
5,3,234.28,6.3,1609.0,6781.44,66.97,46.86,0.6502,Low,0
5,3,353.93,0.92,2211.31,10239.05,9.48,70.79,0.0956,Medium,1
6,3,307.94,0.45,2221.57,9471.55,125.7,51.32,0.01,Low,0
3,2,136.71,0.28,1017.31,4417.73,3.82,45.57,0.0803,Low,0
3,4,197.3,5.05,1143.27,6623.0,11.3,65.77,0.6213,Low,1
1,4,73.8,0.25,564.25,2225.21,459.27,73.8,0.1042,Medium,0
4,3,185.94,11.33,1357.09,5449.95,261.82,46.48,1.4062,Low,0
1,5,70.93,0.17,493.23,2187.24,495.55,70.93,0.0349,Medium,0
3,3,207.27,23.74,1614.91,6610.2,581.34,69.09,2.9628,Medium,1
4,3,337.2,11.57,2365.46,10181.7,461.75,84.3,0.78,Medium,0
2,3,171.97,20.07,1758.17,5017.3,409.46,85.98,2.7835,Medium,0
4,2,186.09,28.44,1665.12,5802.32,109.95,46.52,3.5242,Low,1
1,4,37.19,0.18,348.25,1184.06,121.93,37.19,0.2278,Low,0
1,4,111.86,0.48,671.23,3129.16,1.19,111.86,0.1071,Medium,0
6,4,458.92,45.81,3591.22,12470.66,2954.58,76.49,2.345,Medium,0
3,3,535.43,39.83,3506.63,14694.63,1775.58,178.48,1.7639,High,1
2,4,94.85,3.94,866.01,2554.78,4.67,47.42,1.0906,Low,0
4,3,493.72,13.61,4118.23,14125.8,2673.22,123.43,0.7299,Medium,0
5,3,324.8,25.2,2061.83,9963.43,17.77,64.96,1.8629,Low,0
2,4,77.74,12.07,531.8,2106.59,2503.57,38.87,3.7411,Low,1
4,3,331.02,19.58,2538.03,10711.13,2514.66,82.76,1.4586,Medium,0
1,3,52.61,34.98,434.22,1525.91,288.57,52.61,12.0,Low,1
1,2,62.62,2.59,510.88,1841.03,74.42,62.62,1.1232,Medium,0
4,5,224.29,8.61,1752.67,5991.11,130.04,56.07,0.9083,Low,0
4,2,160.83,9.76,1141.2,4589.68,141.63,40.21,1.4584,Low,0
4,2,570.95,64.09,3904.82,18709.83,5.61,142.74,2.8575,High,1
5,1,203.64,4.0,1747.9,6737.97,1946.62,40.73,0.4237,Low,1
8,3,477.39,28.38,3225.14,15345.4,103.88,59.67,1.4251,Low,0
4,2,97.17,2.56,644.48,2626.82,131.11,24.29,0.796,Low,0
3,4,185.03,16.19,1081.29,5999.8,4.05,61.68,2.097,Low,1
5,2,212.64,13.36,1528.1,6768.35,32.41,42.53,1.4283,Low,0
2,4,68.23,1.43,470.45,2196.08,127.87,34.12,0.5418,Low,0
3,2,95.47,8.63,760.83,3166.43,544.57,31.82,2.1311,Low,1
1,2,34.8,0.96,245.51,1085.0,556.81,34.8,0.7293,Low,0
1,4,38.04,0.22,263.94,1113.52,72.64,38.04,0.2216,Low,0
8,3,331.85,28.7,2711.25,10021.86,140.83,41.48,2.0626,Low,0
6,1,181.8,2.98,1189.3,5567.31,3.51,30.3,0.3411,Low,1
5,5,214.37,0.57,1773.67,6512.37,16.81,42.87,0.0851,Low,0
3,2,290.71,0.46,1820.52,9647.51,0.83,96.9,0.2185,High,1
2,2,308.12,18.89,2415.17,10134.6,89.42,154.06,1.5008,High,1
2,3,97.16,1.89,643.65,3036.99,1.22,48.58,0.4164,Low,1
2,1,83.15,2.93,717.06,2763.58,35.87,41.58,0.9067,Low,1
4,2,135.5,3.91,1054.63,3788.34,16.5,33.88,0.7607,Low,0
5,4,339.28,1.65,2091.85,9391.66,10.6,67.86,0.0866,Low,0
4,2,182.56,17.93,1260.44,5278.01,3.94,45.64,2.3317,Low,1
2,1,145.09,2.92,913.13,3967.7,14.46,72.54,0.5605,Medium,0
7,4,418.63,46.11,3608.32,13063.89,1922.02,59.8,2.6639,Low,0
5,3,498.52,70.19,4139.82,16382.84,577.67,99.7,3.2952,Medium,1
4,2,310.13,0.58,2043.91,10321.65,567.45,77.53,0.0288,Medium,1
4,3,158.55,13.89,1367.08,4936.09,8.05,39.64,2.1232,Low,0
3,1,201.97,7.82,1565.0,6645.1,71.92,67.32,1.0298,Medium,1
2,3,64.65,0.22,422.19,1983.78,45.08,32.33,0.1115,Low,0
3,3,171.34,0.98,1388.17,4795.69,17.21,57.11,0.01,Low,0
5,5,188.92,4.22,1443.71,6307.25,125.32,37.78,0.5235,Low,1
1,2,63.54,1.72,441.21,1700.34,4.22,63.54,0.5907,Medium,1
1,4,116.89,6.78,914.61,3920.0,18.8,116.89,1.575,Medium,1
1,2,87.4,7.05,568.43,2638.61,240.1,87.4,1.9368,Medium,0
1,3,43.33,3.26,280.03,1218.74,92.21,43.33,1.6981,Low,0
6,2,359.32,2.01,2348.72,11046.43,568.38,59.89,0.06,Medium,0
5,3,255.29,19.46,1603.92,8343.22,457.15,51.06,1.7362,Low,1
3,3,211.9,0.69,1549.91,5768.13,289.8,70.63,0.01,Medium,0
1,5,36.63,0.68,272.09,1024.87,348.47,36.63,0.3787,Low,0
3,4,107.31,0.29,668.49,3189.0,397.85,35.77,0.01,Low,0
3,3,270.02,28.72,1901.49,8045.24,141.31,90.01,2.5174,Medium,0
2,2,143.84,4.27,961.17,4816.44,131.49,71.92,0.6059,Low,1
3,3,132.81,4.54,932.89,3757.61,114.16,44.27,0.8733,Low,0
3,4,251.36,7.41,1623.13,7283.55,362.84,83.79,0.6541,Medium,0
4,0,274.98,15.31,1896.12,8606.85,1470.98,68.74,1.3901,Medium,0
4,3,120.05,8.24,777.31,3747.43,505.59,30.01,1.5592,Low,0
